Radius,Volume,Ace2.fraction,Ace2.bud8.fraction
24.9879088,65354.92883,0,0
25.20128672,67043.51188,0,0
25.41648672,68775.72305,0,0
25.63352437,70552.68956,0,0
25.85241535,72375.56777,0,0
26.0731755,74245.5439,0.00095,0
26.29582078,76163.83483,0,0
26.52036727,78131.68886,0,0
26.74683123,80150.38657,0,0
26.97522902,82221.24162,0,0
27.20557715,84345.60159,0,0
27.43789228,86524.8489,0,0
27.67219121,88760.40169,0,0
27.90849087,91053.71472,0,0
28.14680836,93406.28034,0,0
28.3871609,95819.62949,0,0
28.62956586,98295.33262,0,0
28.87404078,100835.0008,0,0
29.12060334,103440.2867,0,0
29.36927135,106112.8856,0,0
29.6200628,108854.5368,0,0
29.87299582,111667.0244,0,0
