Oxygen,Radius,Myoglobin,Metabolism
0.013,20,0.15,0.215540962
0.014,20,0.15,0.227490961
0.015,20,0.15,0.239150025
0.016,20,0.15,0.250520101
0.017,20,0.15,0.261600562
0.018,20,0.15,0.272389038
0.019,20,0.15,0.282882103
0.011,20,0.16,0.191697416
0.012,20,0.16,0.204362059
0.013,20,0.16,0.216724672
0.014,20,0.16,0.228796167
0.015,20,0.16,0.240582293
0.016,20,0.16,0.252085064
0.017,20,0.16,0.263303829
0.018,20,0.16,0.274236097
0.019,20,0.16,0.2848782
0.011,20,0.17,0.192582365
0.012,20,0.17,0.205349595
0.013,20,0.17,0.217819691
0.014,20,0.17,0.230003778
0.015,20,0.17,0.241907765
0.016,20,0.17,0.253533769
0.017,20,0.17,0.26488116
0.018,20,0.17,0.275947378
0.019,20,0.17,0.28672859
0.011,20,0.18,0.193403781
0.012,20,0.18,0.206266264
0.013,20,0.18,0.218836204
0.014,20,0.18,0.231124945
0.015,20,0.18,0.243138573
0.016,20,0.18,0.254879328
0.017,20,0.18,0.266346638
0.018,20,0.18,0.277537923
0.019,20,0.18,0.288449238
0.011,20,0.19,0.194168693
0.012,20,0.19,0.207119884
0.013,20,0.19,0.219782841
0.014,20,0.19,0.232169128
0.015,20,0.19,0.24428502
0.016,20,0.19,0.256132895
0.017,20,0.19,0.267712268
0.018,20,0.19,0.279020574
0.019,20,0.19,0.290053804
0.011,20,0.2,0.194883089
0.012,20,0.2,0.20791712
0.013,20,0.2,0.220666965
0.014,20,0.2,0.233144409
0.015,20,0.2,0.245355916
0.016,20,0.2,0.257304023
0.017,20,0.2,0.268988347
0.018,20,0.2,0.280406369
0.019,20,0.2,0.291554053
0.011,25,0,0.115591326
0.012,25,0,0.121959407
0.013,25,0,0.128078676
0.014,25,0,0.13397286
0.015,25,0,0.139662132
0.016,25,0,0.145163946
0.017,25,0,0.150493587
0.018,25,0,0.155664549
0.019,25,0,0.160688801
0.011,25,0.01,0.123562958
0.012,25,0.01,0.130566474
0.013,25,0.01,0.137284803
0.014,25,0.01,0.143738064
0.015,25,0.01,0.149943722
0.016,25,0.01,0.155917466
0.017,25,0.01,0.161673746
0.018,25,0.01,0.167226083
0.019,25,0.01,0.172587235
0.011,25,0.02,0.129176366
0.012,25,0.02,0.136695785
0.013,25,0.02,0.143917986
0.014,25,0.02,0.150859507
0.015,25,0.02,0.15753445
0.016,25,0.02,0.163955488
0.017,25,0.02,0.17013451
0.018,25,0.02,0.176082997
0.019,25,0.02,0.181812231
0.011,25,0.03,0.133436604
0.012,25,0.03,0.141378725
0.013,25,0.03,0.14902222
0.014,25,0.03,0.156380918
0.015,25,0.03,0.163466111
0.016,25,0.03,0.170287674
0.017,25,0.03,0.176854812
0.018,25,0.03,0.183176543
0.019,25,0.03,0.189261984
0.011,25,0.04,0.136824669
0.012,25,0.04,0.145119076
0.013,25,0.04,0.153118355
0.014,25,0.04,0.160834447
0.015,25,0.04,0.168276536
0.016,25,0.04,0.175452237
0.017,25,0.04,0.182368427
0.018,25,0.04,0.189031813
0.019,25,0.04,0.1954493
0.011,25,0.05,0.139607783
0.012,25,0.05,0.148200593
0.013,25,0.05,0.156504025
0.014,25,0.05,0.164528761
0.015,25,0.05,0.172282478
0.016,25,0.05,0.179771075
0.017,25,0.05,0.186999554
0.018,25,0.05,0.193972648
0.019,25,0.05,0.20069526
0.011,25,0.06,0.141949299
0.012,25,0.06,0.150798481
0.013,25,0.06,0.159364974
0.014,25,0.06,0.167658653
0.015,25,0.06,0.175686156
0.016,25,0.06,0.183452125
0.017,25,0.06,0.19096011
0.018,25,0.06,0.19821324
0.019,25,0.06,0.205214708
0.011,25,0.07,0.143956004
0.012,25,0.07,0.153028155
0.013,25,0.07,0.161824569
0.014,25,0.07,0.170354634
0.015,25,0.07,0.178624301
0.016,25,0.07,0.186637316
0.017,25,0.07,0.194396138
0.018,25,0.07,0.201902628
0.019,25,0.07,0.209158575
0.011,25,0.08,0.145701301
0.012,25,0.08,0.154969417
0.013,25,0.08,0.163968662
0.014,25,0.08,0.172708167
0.015,25,0.08,0.181193447
0.016,25,0.08,0.189427632
0.017,25,0.08,0.197412381
0.018,25,0.08,0.205148579
0.019,25,0.08,0.21263688
0.011,25,0.09,0.147237642
0.012,25,0.09,0.156679565
0.013,25,0.09,0.165859224
0.014,25,0.09,0.174785645
0.015,25,0.09,0.183464097
0.016,25,0.09,0.191897305
0.017,25,0.09,0.200086356
0.018,25,0.09,0.208031399
0.019,25,0.09,0.215732195
0.011,25,0.1,0.148603709
0.012,25,0.1,0.158201013
0.013,25,0.1,0.167542317
0.014,25,0.1,0.176636652
0.015,25,0.1,0.185489173
0.016,25,0.1,0.194102359
0.017,25,0.1,0.202476904
0.018,25,0.1,0.210612415
0.019,25,0.1,0.218507958
0.011,25,0.11,0.149828766
0.012,25,0.11,0.159565952
0.013,25,0.11,0.169053025
0.014,25,0.11,0.178299099
0.015,25,0.11,0.187309312
0.016,25,0.11,0.196086011
0.017,25,0.11,0.204629638
0.018,25,0.11,0.212939412
0.019,25,0.11,0.221013873
0.011,25,0.12,0.15093544
0.012,25,0.12,0.160799331
0.013,25,0.12,0.170418621
0.014,25,0.12,0.179802553
0.015,25,0.12,0.188956317
0.016,25,0.12,0.197882219
0.017,25,0.12,0.206580554
