Oxygen,Radius,Myoglobin,Metabolism,Advantage
0.17,30,0.01,0.431905899,0.012125994
0.18,30,0.01,0.443144227,0.011387858
0.19,30,0.01,0.45397924,0.010726113
0.2,30,0.01,0.464441938,0.010127047
0.21,30,0.01,0.474560022,0.009583847
0.22,30,0.01,0.484357948,0.00909249
0.23,30,0.01,0.493857051,0.008647774
0.24,30,0.01,0.503076028,0.008242451
0.25,30,0.01,0.512031632,0.007869127
0.001,35,0.01,0.015705771,0.033186179
0.002,35,0.01,0.027399325,0.03858243
0.003,35,0.01,0.037001605,0.043394767
0.004,35,0.01,0.04535161,0.047726825
0.005,35,0.01,0.052872334,0.051649232
0.006,35,0.01,0.059798925,0.055209165
0.007,35,0.01,0.066271735,0.058436917
0.008,35,0.01,0.072379269,0.061350817
0.009,35,0.01,0.07817995,0.063961202
0.01,35,0.01,0.083713983,0.066273455
0.02,35,0.01,0.128543407,0.074305468
0.03,35,0.01,0.161074876,0.065454624
0.04,35,0.01,0.187069612,0.054041835
0.05,35,0.01,0.209290461,0.044667397
0.06,35,0.01,0.229035333,0.037493982
0.07,35,0.01,0.246988015,0.032072404
0.08,35,0.01,0.263546956,0.027952426
0.09,35,0.01,0.278968132,0.024730486
0.1,35,0.01,0.293434469,0.022131191
0.11,35,0.01,0.307085148,0.020001289
0.12,35,0.01,0.320027512,0.018240503
0.13,35,0.01,0.332345494,0.01676087
0.14,35,0.01,0.344107307,0.01548999
0.15,35,0.01,0.355370554,0.014381687
0.16,35,0.01,0.366184342,0.013411166
0.17,35,0.01,0.376590052,0.012560862
0.18,35,0.01,0.386622396,0.011811323
0.19,35,0.01,0.396311035,0.011141992
0.2,35,0.01,0.405682109,0.010536489
0.21,35,0.01,0.414759097,0.009985391
0.22,35,0.01,0.423563006,0.009484347
0.23,35,0.01,0.432112344,0.009029984
0.24,35,0.01,0.440423282,0.008617161
0.25,35,0.01,0.448510085,0.008239052
0.001,40,0.01,0.013777622,0.032940985
0.002,40,0.01,0.024031977,0.038308308
0.003,40,0.01,0.032450846,0.043098518
0.004,40,0.01,0.039771467,0.047414608
0.005,40,0.01,0.04636558,0.051326971
0.006,40,0.01,0.052439878,0.054882842
0.007,40,0.01,0.05811774,0.058112633
0.008,40,0.01,0.063476967,0.061034922
0.009,40,0.01,0.06856889,0.063660086
0.01,40,0.01,0.073428799,0.065993495
0.02,40,0.01,0.112889241,0.074456991
0.03,40,0.01,0.141617505,0.065942092
0.04,40,0.01,0.164611793,0.054619508
0.05,40,0.01,0.184294688,0.045243207
0.06,40,0.01,0.20180785,0.038039104
0.07,40,0.01,0.217753362,0.032574116
0.08,40,0.01,0.232482018,0.028415477
0.09,40,0.01,0.246218053,0.025166308
0.1,40,0.01,0.259120896,0.022544705
0.11,40,0.01,0.271312027,0.020392181
0.12,40,0.01,0.282885502,0.018610665
0.13,40,0.01,0.293914752,0.017115819
0.14,40,0.01,0.30445908,0.015834501
0.15,40,0.01,0.314568426,0.014716649
0.16,40,0.01,0.324285586,0.013735023
0.17,40,0.01,0.333646891,0.012873024
0.18,40,0.01,0.342682859,0.012113726
0.19,40,0.01,0.351419382,0.011437746
0.2,40,0.01,0.359879081,0.010827556
0.21,40,0.01,0.368082242,0.01027156
0.22,40,0.01,0.376047164,0.009764148
0.23,40,0.01,0.383790142,0.009302471
0.24,40,0.01,0.391325471,0.008882952
0.25,40,0.01,0.398665682,0.008500006
0.001,45,0.01,0.012270969,0.032747113
0.002,45,0.01,0.021401394,0.038091197
0.003,45,0.01,0.028896352,0.042863379
0.004,45,0.01,0.035413327,0.047166253
0.005,45,0.01,0.041283882,0.05106994
0.006,45,0.01,0.046692394,0.05462175
0.007,45,0.01,0.051748932,0.057852176
0.008,45,0.01,0.056522902,0.060779965
